1748816930.809851,0
1748816930.916140,8
1748816931.033644,11
1748816931.142277,10
1748816931.250241,11
1748816931.364710,10
1748816931.474172,9
1748816931.580750,5
1748816931.691127,8
1748816931.808681,5
1748816931.915964,7
1748816932.036186,13
1748816932.141789,19
1748816932.255028,19
1748816932.360443,21
1748816932.475456,21
1748816932.588393,25
1748816932.695105,26
1748816932.800424,25
1748816932.907565,24
1748816933.019895,25
1748816933.125254,23
1748816933.254280,23
1748816933.362840,22
1748816933.477565,24
1748816933.582713,21
1748816933.688196,17
1748816933.794902,12
1748816933.907284,12
1748816934.012651,15
1748816934.119826,13
1748816934.235713,18
1748816934.358168,22
1748816934.464033,26
1748816934.573264,24
1748816934.678633,27
1748816934.783728,30
1748816934.895074,30
1748816935.007516,31
1748816935.111569,32
1748816935.216575,29
1748816935.329621,24
1748816935.435477,25
1748816935.551462,19
1748816935.670190,13
1748816935.773212,10
1748816935.888526,17
1748816935.993703,14
1748816936.105445,20
1748816936.213813,20
1748816936.330294,28
1748816936.436350,29
1748816936.544018,31
1748816936.663018,34
1748816936.777782,35
1748816936.882474,33
1748816937.002028,32
1748816937.107163,34
1748816937.213847,29
1748816937.322806,25
1748816937.443573,21
1748816937.563673,17
1748816937.677907,14
1748816937.783636,10
1748816937.896786,6
1748816938.008520,7
1748816938.134373,5
1748816938.242740,5
1748816938.349512,5
1748816938.459957,3
1748816938.576064,2
1748816938.688089,2
1748816938.797497,4
1748816938.901832,4
1748816939.012916,5
1748816939.126598,7
1748816939.244767,6
1748816939.353817,7
1748816939.463422,7
1748816939.576732,8
1748816939.685768,7
1748816939.790917,8
1748816939.897846,8
1748816940.006225,8
1748816940.111402,8
1748816940.228291,7
1748816940.337313,7
1748816940.450825,8
1748816940.573901,8
1748816940.690981,9
1748816940.807516,9
1748816940.913267,5
1748816941.026413,2
1748816941.133392,2
1748816941.244458,2
1748816941.360674,3
1748816941.480266,4
1748816941.594716,3
1748816941.706627,5
1748816941.811154,5
1748816941.915395,4
1748816942.028716,4
1748816942.138525,6
1748816942.244153,7
1748816942.360671,5
1748816942.481693,5
1748816942.587554,4
